Module,Class,Signal,Line
src.gui.map_visualizer,LocalHttpServerThread,server_ready,119
src.gui.map_visualizer,LocalHttpServerThread,server_error,120
src.gui.map_visualizer,JavaScriptBridge,county_clicked,183
src.gui.map_visualizer,JavaScriptBridge,coordinates_clicked,184
src.gui.map_visualizer,JavaScriptBridge,map_moved,185
src.gui.map_visualizer,JavaScriptBridge,county_hovered,186
src.gui.map_visualizer,JavaScriptBridge,county_unhovered,187
src.gui.map_visualizer,FoliumMapGenerator,progress_updated,231
src.gui.map_visualizer,FoliumMapGenerator,map_generated,232
src.gui.map_visualizer,FoliumMapGenerator,error_occurred,233
src.gui.map_visualizer,FoliumMapGenerator,status_updated,234
src.gui.map_visualizer,HungarianMapVisualizer,map_ready,1037
src.gui.map_visualizer,HungarianMapVisualizer,county_clicked,1038
src.gui.map_visualizer,HungarianMapVisualizer,coordinates_clicked,1039
src.gui.map_visualizer,HungarianMapVisualizer,map_moved,1040
src.gui.map_visualizer,HungarianMapVisualizer,county_hovered,1041
src.gui.map_visualizer,HungarianMapVisualizer,export_completed,1042
src.gui.map_visualizer,HungarianMapVisualizer,error_occurred,1043
src.gui.map_visualizer,HungarianMapVisualizer,bounds_changed,1044
src.gui.universal_location_selector,UniversalLocationSelector,search_requested,119
src.gui.universal_location_selector,UniversalLocationSelector,city_selected,120
src.gui.universal_location_selector,UniversalLocationSelector,location_changed,121
src.gui.chart_container,ChartsContainer,chart_exported,75
src.gui.chart_container,ChartsContainer,chart_settings_changed,76
src.gui.hungarian_location_selector,HungarianLocationWorker,progress_updated,82
src.gui.hungarian_location_selector,HungarianLocationWorker,counties_loaded,83
src.gui.hungarian_location_selector,HungarianLocationWorker,postal_codes_loaded,84
src.gui.hungarian_location_selector,HungarianLocationWorker,error_occurred,85
src.gui.hungarian_location_selector,HungarianLocationWorker,completed,86
src.gui.hungarian_location_selector,HungarianLocationSelector,region_selected,164
src.gui.hungarian_location_selector,HungarianLocationSelector,county_selected,165
src.gui.hungarian_location_selector,HungarianLocationSelector,location_selected,166
src.gui.hungarian_location_selector,HungarianLocationSelector,selection_changed,167
src.gui.hungarian_location_selector,HungarianLocationSelector,map_update_requested,168
src.gui.hungarian_map_tab,HungarianMapTab,location_selected,106
src.gui.hungarian_map_tab,HungarianMapTab,county_clicked_on_map,107
src.gui.hungarian_map_tab,HungarianMapTab,map_interaction,108
src.gui.hungarian_map_tab,HungarianMapTab,export_completed,109
src.gui.hungarian_map_tab,HungarianMapTab,error_occurred,110
src.gui.hungarian_map_tab,HungarianMapTab,data_loading_started,111
src.gui.hungarian_map_tab,HungarianMapTab,data_loading_completed,112
src.gui.hungarian_map_tab,HungarianMapTab,folium_ready,113
src.gui.hungarian_map_tab,HungarianMapTab,weather_data_updated,114
src.gui.hungarian_map_tab,HungarianMapTab,analytics_sync_completed,115
src.gui.analytics_view,AnalyticsView,analysis_started,716
src.gui.analytics_view,AnalyticsView,analysis_completed,717
src.gui.analytics_view,AnalyticsView,error_occurred,718
src.gui.analytics_view,AnalyticsView,multi_city_query_requested,721
src.gui.control_panel,ControlPanel,analysis_requested,90
src.gui.control_panel,ControlPanel,search_requested,93
src.gui.control_panel,ControlPanel,city_selected,94
src.gui.control_panel,ControlPanel,local_error_occurred,95
src.gui.theme_manager,ProfessionalThemeManager,theme_changed,64
src.gui.theme_manager,ProfessionalThemeManager,color_scheme_updated,65
src.gui.main_window,MainWindow,theme_changed,1411
src.gui.app_controller,AppController,analysis_started,69
src.gui.app_controller,AppController,analysis_progress,70
src.gui.app_controller,AppController,analysis_completed,71
src.gui.app_controller,AppController,analysis_failed,72
src.gui.app_controller,AppController,analysis_cancelled,73
src.gui.app_controller,AppController,geocoding_results_ready,76
src.gui.app_controller,AppController,weather_data_ready,77
src.gui.app_controller,AppController,error_occurred,78
src.gui.app_controller,AppController,status_updated,79
src.gui.app_controller,AppController,progress_updated,80
src.gui.app_controller,AppController,city_saved_to_db,83
src.gui.app_controller,AppController,weather_saved_to_db,84
src.gui.app_controller,AppController,provider_selected,87
src.gui.app_controller,AppController,provider_usage_updated,88
src.gui.app_controller,AppController,provider_warning,89
src.gui.app_controller,AppController,provider_fallback,90
src.gui.data_widgets,WeatherDataTable,row_selected,222
src.gui.data_widgets,WeatherDataTable,data_filtered,223
src.gui.data_widgets,WeatherDataTable,export_completed,224
src.gui.data_widgets,WeatherDataTable,sorting_changed,225
src.gui.workers.analysis_worker,AnalysisWorker,progress_updated,86
src.gui.workers.analysis_worker,AnalysisWorker,analysis_completed,87
src.gui.workers.analysis_worker,AnalysisWorker,analysis_failed,88
src.gui.workers.analysis_worker,AnalysisWorker,analysis_cancelled,89
src.gui.workers.data_fetch_worker,BaseWorkerThread,finished,80
src.gui.workers.data_fetch_worker,BaseWorkerThread,completion_signal,81
src.gui.workers.data_fetch_worker,BaseWorkerThread,error_occurred,82
src.gui.workers.data_fetch_worker,BaseWorkerThread,progress_updated,83
src.gui.workers.data_fetch_worker,BaseWorkerThread,cancellation_requested,84
src.gui.workers.data_fetch_worker,BaseWorkerThread,status_updated,85
src.gui.workers.data_fetch_worker,GeocodingWorker,geocoding_completed,214
src.gui.workers.data_fetch_worker,WeatherDataWorker,weather_data_completed,314
src.gui.workers.data_fetch_worker,WeatherDataWorker,provider_changed,317
src.gui.workers.data_fetch_worker,WeatherDataWorker,provider_fallback_occurred,318
src.gui.workers.data_fetch_worker,WeatherDataWorker,provider_validation_failed,319
src.gui.workers.data_fetch_worker,SQLQueryWorker,query_completed,656
src.gui.workers.data_fetch_worker,WorkerManager,error_occurred,762
src.gui.workers.data_fetch_worker,WorkerManager,progress_updated,763
src.gui.workers.data_fetch_worker,WorkerManager,worker_started,764
src.gui.workers.data_fetch_worker,WorkerManager,worker_finished,765
src.gui.workers.data_fetch_worker,WorkerManager,worker_completed,768
src.gui.workers.data_fetch_worker,WorkerManager,worker_cancelled,769
src.gui.workers.data_fetch_worker,WorkerManager,all_workers_completed,770
src.gui.workers.data_fetch_worker,WorkerManager,geocoding_completed,773
src.gui.workers.data_fetch_worker,WorkerManager,weather_data_completed,774
src.gui.workers.data_fetch_worker,WorkerManager,sql_query_completed,775
src.gui.workers.data_fetch_worker,WorkerManager,provider_changed,778
src.gui.workers.data_fetch_worker,WorkerManager,provider_fallback_occurred,779
