id,name,settlement_type,megye,jaras,terulet_hektar,population,lakasok_szama,latitude,longitude,climate_zone,data_source,created_at,updated_at,region_priority
1,Aba,"város","Fejér","Székesfehérvári",8805.0,4396,1562,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
2,"Abádszalók","város","Jász-Nagykun-Szolnok",Kunhegyesi,13223.0,3799,2017,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
3,Abaliget,"község",Baranya,"Pécsi",1609.0,615,284,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
4,"Abasár","község",Heves,"Gyöngyösi",2082.0,2470,1176,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
5,"Abaújalpár","község","Borsod-Abaúj-Zemplén","Gönci",848.0,67,54,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
6,"Abaújkér","község","Borsod-Abaúj-Zemplén","Gönci",1727.0,556,278,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
7,"Abaújlak","község","Borsod-Abaúj-Zemplén","Szikszói",706.0,76,75,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
8,"Abaújszántó","város","Borsod-Abaúj-Zemplén","Gönci",4739.0,2697,1162,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
9,"Abaújszolnok","község","Borsod-Abaúj-Zemplén","Szikszói",867.0,227,50,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
10,"Abaújvár","község","Borsod-Abaúj-Zemplén","Gönci",735.0,253,139,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
11,Abda,"község","Győr-Moson-Sopron","Győri",1902.0,3217,1222,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
12,Abod,"község","Borsod-Abaúj-Zemplén","Edelényi",3116.0,147,128,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
13,Abony,"város",Pest,"Ceglédi",12797.0,14624,5959,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",7
14,"Ábrahámhegy","község","Veszprém",Tapolcai,1488.0,582,392,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
15,"Ács","város","Komárom-Esztergom","Komáromi",10385.0,6974,2790,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
16,Acsa,"község",Pest,"Váci",2694.0,1291,475,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
