src/analytics/multi_city_engine.py:45: unused import 'asyncio' (90% confidence, 1 line)
src/analytics/multi_city_engine.py:154: unused variable 'meteostat_station_id' (60% confidence, 1 line)
src/analytics/multi_city_engine.py:158: unused variable 'fetch_timestamp' (60% confidence, 1 line)
src/analytics/multi_city_engine.py:161: unused variable 'retry_count' (60% confidence, 1 line)
src/analytics/multi_city_engine.py:412: unused variable 'progress_callback' (100% confidence, 1 line)
src/config.py:34: unused variable 'WEATHER_DB_PATH' (60% confidence, 1 line)
src/config.py:35: unused variable 'CACHE_DB_PATH' (60% confidence, 1 line)
src/config.py:47: unused variable 'OPEN_METEO_GEOCODING' (60% confidence, 1 line)
src/config.py:58: unused variable 'CACHE_DURATION' (60% confidence, 1 line)
src/config.py:61: unused variable 'SINGLE_CITY_SOURCE' (60% confidence, 1 line)
src/config.py:62: unused variable 'MULTI_CITY_SOURCE' (60% confidence, 1 line)
src/config.py:63: unused variable 'HISTORICAL_SOURCE' (60% confidence, 1 line)
src/config.py:68: unused variable 'CACHE_DURATION' (60% confidence, 1 line)
src/config.py:72: unused variable 'OPENMETEO_RATE_LIMIT' (60% confidence, 1 line)
src/config.py:88: unused variable 'OPEN_METEO_DAILY_FIELDS' (60% confidence, 1 line)
src/config.py:99: unused variable 'OPEN_METEO_HOURLY_FIELDS' (60% confidence, 1 line)
src/config.py:105: unused variable 'METEOSTAT_DAILY_FIELDS' (60% confidence, 1 line)
src/config.py:119: unused variable 'PROCESSED_DAILY_FIELDS' (60% confidence, 1 line)
src/config.py:131: unused variable 'SUPPORTED_EXPORT_FORMATS' (60% confidence, 1 line)
src/config.py:134: unused variable 'DEFAULT_PAGE_SIZE' (60% confidence, 1 line)
src/config.py:135: unused variable 'MAX_PAGE_SIZE' (60% confidence, 1 line)
src/config.py:138: unused variable 'CACHE_EXPIRY_HOURS' (60% confidence, 1 line)
src/config.py:139: unused variable 'MAX_CACHE_SIZE_MB' (60% confidence, 1 line)
src/config.py:222: unused variable 'USAGE_RESET_DAY' (60% confidence, 1 line)
src/config.py:235: unused variable 'DEFAULT_WINDOW_SIZE' (60% confidence, 1 line)
src/config.py:236: unused variable 'MIN_WINDOW_SIZE' (60% confidence, 1 line)
src/config.py:239: unused variable 'DPI' (60% confidence, 1 line)
src/config.py:240: unused variable 'FIGURE_SIZE' (60% confidence, 1 line)
src/config.py:243: unused variable 'WEATHER_UPDATE_INTERVAL' (60% confidence, 1 line)
src/config.py:244: unused variable 'WARNING_UPDATE_INTERVAL' (60% confidence, 1 line)
src/config.py:247: unused variable 'PROVIDER_SELECTOR_POSITION' (60% confidence, 1 line)
src/config.py:248: unused variable 'SHOW_USAGE_WARNINGS' (60% confidence, 1 line)
src/config.py:249: unused variable 'SHOW_COST_ESTIMATES' (60% confidence, 1 line)
src/config.py:250: unused variable 'AUTO_FALLBACK_ON_LIMIT' (60% confidence, 1 line)
src/config.py:257: unused variable 'MAX_CONCURRENT_REQUESTS' (60% confidence, 1 line)
src/config.py:258: unused variable 'CHART_CACHE_SIZE' (60% confidence, 1 line)
src/config.py:259: unused variable 'DATA_CHUNK_SIZE' (60% confidence, 1 line)
src/config.py:262: unused variable 'USE_GPU_ACCELERATION' (60% confidence, 1 line)
src/config.py:263: unused variable 'GPU_MEMORY_LIMIT' (60% confidence, 1 line)
src/config.py:270: unused variable 'MAX_CITIES_PER_BATCH' (60% confidence, 1 line)
src/config.py:271: unused variable 'STATION_SEARCH_RADIUS' (60% confidence, 1 line)
src/config.py:272: unused variable 'MAX_STATION_DISTANCE' (60% confidence, 1 line)
src/config.py:275: unused variable 'METEOSTAT_CONCURRENT_REQUESTS' (60% confidence, 1 line)
src/config.py:276: unused variable 'METEOSTAT_REQUEST_DELAY' (60% confidence, 1 line)
src/config.py:279: unused variable 'ENABLE_FALLBACK_TO_OPENMETEO' (60% confidence, 1 line)
src/config.py:280: unused variable 'FALLBACK_THRESHOLD' (60% confidence, 1 line)
src/config.py:289: unused variable 'AUTHOR' (60% confidence, 1 line)
